run_at,task,llm,strategy,repetition,m4a_jaccard,m4b_trace_sim,llm_activity_types,gt_activity_types,intersection_size,union_size
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,zero_shot,1,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,zero_shot,2,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,zero_shot,3,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,schema_aware,1,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,schema_aware,2,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,schema_aware,3,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,few_shot,1,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,few_shot,2,,,0,295,0,295
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,few_shot,3,,,0,295,0,295
2026-03-13T11:11:38.071124+00:00,t1,claude,zero_shot,1,0.0101,,5,295,3,297
2026-03-13T11:11:38.071124+00:00,t1,claude,zero_shot,2,0.0101,,5,295,3,297
2026-03-13T11:11:38.071124+00:00,t1,claude,zero_shot,3,0.0101,,5,295,3,297
2026-03-13T11:11:38.071124+00:00,t1,claude,schema_aware,1,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,claude,schema_aware,2,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,claude,schema_aware,3,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,claude,few_shot,1,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,claude,few_shot,2,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,claude,few_shot,3,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,llama3,zero_shot,1,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,llama3,zero_shot,2,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,llama3,zero_shot,3,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,llama3,schema_aware,1,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,llama3,schema_aware,2,0.0068,,3,295,2,296
2026-03-13T11:11:38.071124+00:00,t1,llama3,schema_aware,3,,,0,295,0,295
2026-03-13T11:11:38.071124+00:00,t1,llama3,few_shot,1,0.0101,,4,295,3,296
2026-03-13T11:11:38.071124+00:00,t1,llama3,few_shot,2,0.0101,,4,295,3,296
2026-03-13T11:11:38.071124+00:00,t1,llama3,few_shot,3,0.0101,,4,295,3,296
